Rang,Code INSEE,Commune,URL Wikipédia,Département,Statut,Région,Population 2023,Population 2017,Population 2012,Population 2007,Population 1999
156,78551,Saint-Germain-en-Laye,https://fr.wikipedia.org/wiki/Saint-Germain-en-Laye,Yvelines,Sous-préfecture,Île-de-France,45931,44753,43531,45690,42584
157,90010,Belfort,https://fr.wikipedia.org/wiki/Belfort,Territoire de Belfort,Préfecture,Bourgogne-Franche-Comté,45912,47656,50102,51327,50417
158,08105,Charleville-Mézières,https://fr.wikipedia.org/wiki/Charleville-Mézières,Ardennes,Préfecture,Grand Est,45560,46428,49759,51070,55490
159,94002,Alfortville,https://fr.wikipedia.org/wiki/Alfortville,Val-de-Marne,—,Île-de-France,45531,43881,44397,44116,36232
160,93053,Noisy-le-Sec,https://fr.wikipedia.org/wiki/Noisy-le-Sec,Seine-Saint-Denis,—,Île-de-France,45510,44136,40161,38802,37312
161,34301,Sète,https://fr.wikipedia.org/wiki/Sète,Hérault,—,Occitanie,45337,43229,44558,42972,39542
162,71076,Chalon-sur-Saône,https://fr.wikipedia.org/wiki/Chalon-sur-Saône,Saône-et-Loire,Sous-préfecture,Bourgogne-Franche-Comté,45102,45096,44564,46676,50124
163,92007,Bagneux,https://fr.wikipedia.org/wiki/Bagneux,Hauts-de-Seine,—,Île-de-France,44572,40918,38398,38592,37252
164,65440,Tarbes,https://fr.wikipedia.org/wiki/Tarbes,Hautes-Pyrénées,Préfecture,Occitanie,44399,41518,41664,44973,46275
165,22278,Saint-Brieuc,https://fr.wikipedia.org/wiki/Saint-Brieuc,Côtes-d'Armor,Préfecture,Bretagne,44364,44372,45936,46178,46087
166,13047,Istres,https://fr.wikipedia.org/wiki/Istres,Bouches-du-Rhône,Sous-préfecture,Provence-Alpes-Côte d'Azur,44292,43133,42944,42775,38993
167,13103,Salon-de-Provence,https://fr.wikipedia.org/wiki/Salon-de-Provence,Bouches-du-Rhône,—,Provence-Alpes-Côte d'Azur,44194,45528,43771,40943,37129
168,92062,Puteaux,https://fr.wikipedia.org/wiki/Puteaux,Hauts-de-Seine,—,Île-de-France,44002,44645,44514,43994,40780
169,69034,Caluire-et-Cuire,https://fr.wikipedia.org/wiki/Caluire-et-Cuire,Métropole de Lyon,—,Auvergne-Rhône-Alpes,43597,43187,42038,41010,41233
170,44143,Rezé,https://fr.wikipedia.org/wiki/Rezé,Loire-Atlantique,—,Pays de la Loire,43556,41411,39377,37846,35478
171,78361,Mantes-la-Jolie,https://fr.wikipedia.org/wiki/Mantes-la-Jolie,Yvelines,Sous-préfecture,Île-de-France,43526,44299,43515,42916,43672
172,59606,Valenciennes,https://fr.wikipedia.org/wiki/Valenciennes,Nord,Sous-préfecture,Hauts-de-France,43468,43336,42989,42670,41278
173,64024,Anglet,https://fr.wikipedia.org/wiki/Anglet,Pyrénées-Atlantiques,—,Nouvelle-Aquitaine,43271,38929,39223,37934,35263
174,93006,Bagnolet,https://fr.wikipedia.org/wiki/Bagnolet,Seine-Saint-Denis,—,Île-de-France,43086,35674,34920,34269,32511
175,69029,Bron,https://fr.wikipedia.org/wiki/Bron,Métropole de Lyon,—,Auvergne-Rhône-Alpes,42982,41543,39232,38833,37369
176,51108,Châlons-en-Champagne,https://fr.wikipedia.org/wiki/Châlons-en-Champagne,Marne,Préfecture,Grand Est,42971,44753,45225,45829,47339
177,36044,Châteauroux,https://fr.wikipedia.org/wiki/Châteauroux,Indre,Préfecture,Centre-Val de Loire,42963,43741,44960,47127,49632
178,62041,Arras,https://fr.wikipedia.org/wiki/Arras,Pas-de-Calais,Préfecture,Hauts-de-France,42875,41019,41239,42672,40590
179,57672,Thionville,https://fr.wikipedia.org/wiki/Thionville,Moselle,Sous-préfecture,Grand Est,42658,40701,41325,40910,40907
180,33550,Villenave-d'Ornon,https://fr.wikipedia.org/wiki/Villenave-d'Ornon,Gironde,—,Nouvelle-Aquitaine,42545,34090,29804,29339,27500
181,81065,Castres,https://fr.wikipedia.org/wiki/Castres,Tarn,—,Occitanie,42505,41636,41529,43347,43496
182,01053,Bourg-en-Bresse,https://fr.wikipedia.org/wiki/Bourg-en-Bresse,Ain,Préfecture,Auvergne-Rhône-Alpes,42372,41527,40171,40506,40666
183,74281,Thonon-les-Bains,https://fr.wikipedia.org/wiki/Thonon-les-Bains,Haute-Savoie,Sous-préfecture,Auvergne-Rhône-Alpes,42363,38716,38339,34936,31979
184,93032,Gagny,https://fr.wikipedia.org/wiki/Gagny,Seine-Saint-Denis,—,Île-de-France,42313,39358,39172,38220,36715
185,06030,Le Cannet,https://fr.wikipedia.org/wiki/Le_Cannet,Alpes-Maritimes,—,Provence-Alpes-Côte d'Azur,41938,41471,43115,42207,42158
186,16015,Angoulême,https://fr.wikipedia.org/wiki/Angoulême,Charente,Préfecture,Nouvelle-Aquitaine,41908,41740,42014,42669,43171
187,95268,Garges-lès-Gonesse,https://fr.wikipedia.org/wiki/Garges-lès-Gonesse,Val-d'Oise,—,Île-de-France,41791,42728,41001,39098,40058
188,93078,Villepinte,https://fr.wikipedia.org/wiki/Villepinte,Seine-Saint-Denis,—,Île-de-France,41470,36830,35820,35444,33782
189,93072,Stains,https://fr.wikipedia.org/wiki/Stains,Seine-Saint-Denis,—,Île-de-France,41388,38720,36155,34663,32839
190,05061,Gap,https://fr.wikipedia.org/wiki/Gap,Hautes-Alpes,Préfecture,Provence-Alpes-Côte d'Azur,41293,40895,40761,37785,36262
191,78498,Poissy,https://fr.wikipedia.org/wiki/Poissy,Yvelines,—,Île-de-France,40983,37388,37597,37109,35841
192,31149,Colomiers,https://fr.wikipedia.org/wiki/Colomiers,Haute-Garonne,—,Occitanie,40882,38951,36699,32315,28538
193,59650,Wattrelos,https://fr.wikipedia.org/wiki/Wattrelos,Nord,—,Hauts-de-France,40847,40958,41633,42077,42753
194,83050,Draguignan,https://fr.wikipedia.org/wiki/Draguignan,Var,Sous-préfecture,Provence-Alpes-Côte d'Azur,40826,39340,37476,37117,32829
195,60159,Compiègne,https://fr.wikipedia.org/wiki/Compiègne,Oise,Sous-préfecture,Hauts-de-France,40761,40199,40028,41714,41254
196,26198,Montélimar,https://fr.wikipedia.org/wiki/Montélimar,Drôme,—,Auvergne-Rhône-Alpes,40595,39097,35704,34636,31344
197,62160,Boulogne-sur-Mer,https://fr.wikipedia.org/wiki/Boulogne-sur-Mer,Pas-de-Calais,Sous-préfecture,Hauts-de-France,40539,40874,42785,43840,44859
198,59178,Douai,https://fr.wikipedia.org/wiki/Douai,Nord,Sous-préfecture,Hauts-de-France,40250,39700,41732,42621,42796
199,59378,Marcq-en-Barœul,https://fr.wikipedia.org/wiki/Marcq-en-Barœul,Nord,—,Hauts-de-France,40184,38617,39600,39101,37177
200,93050,Neuilly-sur-Marne,https://fr.wikipedia.org/wiki/Neuilly-sur-Marne,Seine-Saint-Denis,—,Île-de-France,39800,34993,34658,33422,32754
203,77373,Pontault-Combault,https://fr.wikipedia.org/wiki/Pontault-Combault,Seine-et-Marne,—,Île-de-France,39096,37747,37631,34733,32886
205,13028,La Ciotat,https://fr.wikipedia.org/wiki/La_Ciotat,Bouches-du-Rhône,—,Provence-Alpes-Côte d'Azur,38477,35174,34063,32901,31630
206,37122,Joué-lès-Tours,https://fr.wikipedia.org/wiki/Joué-lès-Tours,Indre-et-Loire,—,Centre-Val de Loire,38423,37893,37196,35836,36517
207,93073,Tremblay-en-France,https://fr.wikipedia.org/wiki/Tremblay-en-France,Seine-Saint-Denis,—,Île-de-France,38348,36180,34081,35410,33885
208,28085,Chartres,https://fr.wikipedia.org/wiki/Chartres,Eure-et-Loir,Préfecture,Centre-Val de Loire,38324,38578,38889,39767,40361
209,69149,Oullins-Pierre-Bénite,https://fr.wikipedia.org/wiki/Oullins-Pierre-Bénite,Métropole de Lyon,—,Auvergne-Rhône-Alpes,38168,36663,35967,35558,35146
210,95252,Franconville,https://fr.wikipedia.org/wiki/Franconville,Val-d'Oise,—,Île-de-France,37754,36762,33196,32932,33497
211,38421,Saint-Martin-d'Hères,https://fr.wikipedia.org/wiki/Saint-Martin-d'Hères,Isère,—,Auvergne-Rhône-Alpes,37695,38487,38105,35502,35777
212,74012,Annemasse,https://fr.wikipedia.org/wiki/Annemasse,Haute-Savoie,—,Auvergne-Rhône-Alpes,37628,35712,33166,29540,27253
213,91589,Savigny-sur-Orge,https://fr.wikipedia.org/wiki/Savigny-sur-Orge,Essonne,—,Île-de-France,37601,36533,37135,37469,36258
214,38151,Échirolles,https://fr.wikipedia.org/wiki/Échirolles,Isère,—,Auvergne-Rhône-Alpes,37491,36840,35826,35383,32806
215,91477,Palaiseau,https://fr.wikipedia.org/wiki/Palaiseau,Essonne,Sous-préfecture,Île-de-France,37471,35514,30268,30149,28965
216,93063,Romainville,https://fr.wikipedia.org/wiki/Romainville,Seine-Saint-Denis,—,Île-de-France,37152,27567,25411,25563,23779
217,83118,Saint-Raphaël,https://fr.wikipedia.org/wiki/Saint-Raphaël,Var,—,Provence-Alpes-Côte d'Azur,37113,35042,34115,34381,30671
218,83129,Six-Fours-les-Plages,https://fr.wikipedia.org/wiki/Six-Fours-les-Plages,Var,—,Provence-Alpes-Côte d'Azur,37109,32829,34057,35091,32742
220,78172,Conflans-Sainte-Honorine,https://fr.wikipedia.org/wiki/Conflans-Sainte-Honorine,Yvelines,—,Île-de-France,36958,35846,35135,33888,33327
221,13117,Vitrolles,https://fr.wikipedia.org/wiki/Vitrolles,Bouches-du-Rhône,—,Provence-Alpes-Côte d'Azur,36758,33310,34843,37479,36784
222,92020,Châtillon,https://fr.wikipedia.org/wiki/Châtillon,Hauts-de-Seine,—,Île-de-France,36705,37355,34960,32609,28622
223,69282,Meyzieu,https://fr.wikipedia.org/wiki/Meyzieu,Métropole de Lyon,—,Auvergne-Rhône-Alpes,36687,33477,31493,29014,28009
224,91027,Athis-Mons,https://fr.wikipedia.org/wiki/Athis-Mons,Essonne,—,Île-de-France,36613,34347,29482,30462,29427
227,95063,Bezons,https://fr.wikipedia.org/wiki/Bezons,Val-d'Oise,—,Île-de-France,36434,29383,28172,27892,26263
228,67180,Haguenau,https://fr.wikipedia.org/wiki/Haguenau,Bas-Rhin,Sous-préfecture,Grand Est,36391,34504,34406,35112,32242
229,60175,Creil,https://fr.wikipedia.org/wiki/Creil,Oise,—,Hauts-de-France,36301,35657,33936,33837,30675
230,94078,Villeneuve-Saint-Georges,https://fr.wikipedia.org/wiki/Villeneuve-Saint-Georges,Val-de-Marne,—,Île-de-France,36221,33545,32994,30609,28361
231,69264,Villefranche-sur-Saône,https://fr.wikipedia.org/wiki/Villefranche-sur-Saône,Rhône,Sous-préfecture,Auvergne-Rhône-Alpes,36172,36857,36241,33840,30647
233,92019,Châtenay-Malabry,https://fr.wikipedia.org/wiki/Châtenay-Malabry,Hauts-de-Seine,—,Île-de-France,35825,33286,32198,31946,30621
234,42207,Saint-Chamond,https://fr.wikipedia.org/wiki/Saint-Chamond,Loire,—,Auvergne-Rhône-Alpes,35646,34967,35564,35414,37378
235,91549,Sainte-Geneviève-des-Bois,https://fr.wikipedia.org/wiki/Sainte-Geneviève-des-Bois,Essonne,—,Île-de-France,35438,36207,35035,34411,32125
236,42187,Roanne,https://fr.wikipedia.org/wiki/Roanne,Loire,Sous-préfecture,Auvergne-Rhône-Alpes,35409,34366,35799,35750,38896
237,94058,Le Perreux-sur-Marne,https://fr.wikipedia.org/wiki/Le_Perreux-sur-Marne,Val-de-Marne,—,Île-de-France,35260,33879,33248,32100,30080
238,71270,Mâcon,https://fr.wikipedia.org/wiki/Mâcon,Saône-et-Loire,Préfecture,Bourgogne-Franche-Comté,35177,33638,32917,33865,34469
239,89024,Auxerre,https://fr.wikipedia.org/wiki/Auxerre,Yonne,Préfecture,Bourgogne-Franche-Comté,35097,34634,35096,37218,37790
240,67447,Schiltigheim,https://fr.wikipedia.org/wiki/Schiltigheim,Bas-Rhin,—,Grand Est,34708,31894,31691,31729,30841
241,78621,Trappes,https://fr.wikipedia.org/wiki/Trappes,Yvelines,—,Île-de-France,34689,32584,29774,29327,28812
242,78440,Les Mureaux,https://fr.wikipedia.org/wiki/Les_Mureaux,Yvelines,—,Île-de-France,34632,32792,30760,32911,31739
243,78311,Houilles,https://fr.wikipedia.org/wiki/Houilles,Yvelines,—,Île-de-France,33983,32151,32399,30973,29634
245,13054,Marignane,https://fr.wikipedia.org/wiki/Marignane,Bouches-du-Rhône,—,Provence-Alpes-Côte d'Azur,33692,32920,34405,33159,34006
246,26281,Romans-sur-Isère,https://fr.wikipedia.org/wiki/Romans-sur-Isère,Drôme,—,Auvergne-Rhône-Alpes,33464,33160,33701,33234,32667
247,94079,Villiers-sur-Marne,https://fr.wikipedia.org/wiki/Villiers-sur-Marne,Val-de-Marne,—,Île-de-France,33162,28456,27737,28158,26632
248,03185,Montluçon,https://fr.wikipedia.org/wiki/Montluçon,Allier,Sous-préfecture,Auvergne-Rhône-Alpes,33147,35653,38072,39761,41362
249,58194,Nevers,https://fr.wikipedia.org/wiki/Nevers,Nièvre,Préfecture,Bourgogne-Franche-Comté,33085,32990,35327,38007,40932
250,62498,Lens,https://fr.wikipedia.org/wiki/Lens,Pas-de-Calais,Sous-préfecture,Hauts-de-France,32920,31415,32663,36011,36206
251,94073,Thiais,https://fr.wikipedia.org/wiki/Thiais,Val-de-Marne,—,Île-de-France,32918,29017,29422,29273,28232
252,33449,Saint-Médard-en-Jalles,https://fr.wikipedia.org/wiki/Saint-Médard-en-Jalles,Gironde,—,Nouvelle-Aquitaine,32910,31145,28839,27243,25566
253,47001,Agen,https://fr.wikipedia.org/wiki/Agen,Lot-et-Garonne,Préfecture,Nouvelle-Aquitaine,32801,33576,33730,33863,30170
254,78423,Montigny-le-Bretonneux,https://fr.wikipedia.org/wiki/Montigny-le-Bretonneux,Yvelines,—,Île-de-France,32465,32929,33680,34038,35216
255,94052,Nogent-sur-Marne,https://fr.wikipedia.org/wiki/Nogent-sur-Marne,Val-de-Marne,Sous-préfecture,Île-de-France,32455,32851,30884,30912,28191
256,73008,Aix-les-Bains,https://fr.wikipedia.org/wiki/Aix-les-Bains,Savoie,—,Auvergne-Rhône-Alpes,32406,29794,28729,27267,25732
257,88160,Épinal,https://fr.wikipedia.org/wiki/Épinal,Vosges,Préfecture,Grand Est,32251,31740,32387,33528,35794
258,06123,Saint-Laurent-du-Var,https://fr.wikipedia.org/wiki/Saint-Laurent-du-Var,Alpes-Maritimes,—,Provence-Alpes-Côte d'Azur,32172,28453,29343,30290,27141
259,95500,Pontoise,https://fr.wikipedia.org/wiki/Pontoise,Val-d'Oise,Sous-préfecture,Île-de-France,31970,30767,30164,29148,27494
260,33039,Bègles,https://fr.wikipedia.org/wiki/Bègles,Gironde,—,Nouvelle-Aquitaine,31831,28601,25380,24914,22475
261,78490,Plaisir,https://fr.wikipedia.org/wiki/Plaisir,Yvelines,—,Île-de-France,31811,31419,31119,30937,31045
262,95306,Herblay-sur-Seine,https://fr.wikipedia.org/wiki/Herblay-sur-Seine,Val-d'Oise,—,Île-de-France,31779,29342,26944,26137,23083
263,38544,Vienne,https://fr.wikipedia.org/wiki/Vienne,Isère,Sous-préfecture,Auvergne-Rhône-Alpes,31778,29306,29077,29844,29975
264,84031,Carpentras,https://fr.wikipedia.org/wiki/Carpentras,Vaucluse,Sous-préfecture,Provence-Alpes-Côte d'Azur,31619,28309,28520,28526,26090
265,40192,Mont-de-Marsan,https://fr.wikipedia.org/wiki/Mont-de-Marsan,Landes,Préfecture,Nouvelle-Aquitaine,31592,29554,31018,30212,29489
266,28134,Dreux,https://fr.wikipedia.org/wiki/Dreux,Eure-et-Loir,Sous-préfecture,Centre-Val de Loire,31543,31044,31195,32155,31849
267,91657,Vigneux-sur-Seine,https://fr.wikipedia.org/wiki/Vigneux-sur-Seine,Essonne,—,Île-de-France,31466,31574,29963,26497,25652
268,69286,Rillieux-la-Pape,https://fr.wikipedia.org/wiki/Rillieux-la-Pape,Métropole de Lyon,—,Auvergne-Rhône-Alpes,31389,30012,30140,29546,28367
269,95280,Goussainville,https://fr.wikipedia.org/wiki/Goussainville,Val-d'Oise,—,Île-de-France,31301,30637,31255,30310,27356
270,91521,Ris-Orangis,https://fr.wikipedia.org/wiki/Ris-Orangis,Essonne,—,Île-de-France,31189,29225,26800,26691,24436
271,94038,L'Haÿ-les-Roses,https://fr.wikipedia.org/wiki/L'Haÿ-les-Roses,Val-de-Marne,Sous-préfecture,Île-de-France,31188,31204,31168,29357,29660
273,77445,Savigny-le-Temple,https://fr.wikipedia.org/wiki/Savigny-le-Temple,Seine-et-Marne,—,Île-de-France,31148,29984,29555,26905,22339
274,59122,Cambrai,https://fr.wikipedia.org/wiki/Cambrai,Nord,Sous-préfecture,Hauts-de-France,31134,32558,32847,32296,33738
275,94016,Cachan,https://fr.wikipedia.org/wiki/Cachan,Val-de-Marne,—,Île-de-France,31103,31069,28365,27383,24838
276,86066,Châtellerault,https://fr.wikipedia.org/wiki/Châtellerault,Vienne,Sous-préfecture,Nouvelle-Aquitaine,31003,31840,31537,33993,34126
278,91687,Viry-Châtillon,https://fr.wikipedia.org/wiki/Viry-Châtillon,Essonne,—,Île-de-France,30838,31093,31221,31249,30257
279,78158,Le Chesnay-Rocquencourt,https://fr.wikipedia.org/wiki/Le_Chesnay-Rocquencourt,Yvelines,—,Île-de-France,30689,31164,32196,32672,31748
280,06083,Menton,https://fr.wikipedia.org/wiki/Menton,Alpes-Maritimes,—,Provence-Alpes-Côte d'Azur,30604,28958,29073,28683,28812
281,78146,Chatou,https://fr.wikipedia.org/wiki/Chatou,Yvelines,—,Île-de-France,30598,30253,30585,30063,28588
282,92046,Malakoff,https://fr.wikipedia.org/wiki/Malakoff,Hauts-de-Seine,—,Île-de-France,30557,30720,30420,30735,29402
283,92035,La Garenne-Colombes,https://fr.wikipedia.org/wiki/La_Garenne-Colombes,Hauts-de-Seine,—,Île-de-France,30197,29169,28371,27001,24067
284,31557,Tournefeuille,https://fr.wikipedia.org/wiki/Tournefeuille,Haute-Garonne,—,Occitanie,30168,26962,26342,25709,22758
285,38053,Bourgoin-Jallieu,https://fr.wikipedia.org/wiki/Bourgoin-Jallieu,Isère,—,Auvergne-Rhône-Alpes,30151,28387,26773,23759,22947
286,91201,Draveil,https://fr.wikipedia.org/wiki/Draveil,Essonne,—,Île-de-France,30098,28833,29063,28335,28093
287,62510,Liévin,https://fr.wikipedia.org/wiki/Liévin,Pas-de-Calais,—,Hauts-de-France,30063,30785,31580,32174,33427
288,95680,Villiers-le-Bel,https://fr.wikipedia.org/wiki/Villiers-le-Bel,Val-d'Oise,—,Île-de-France,30053,27676,27496,27091,26145
54547,Vandœuvre-lès-Nancy,Meurthe-et-Moselle,https://fr.wikipedia.org/wiki/Meurthe-et-Moselle,—,Grand Est,29 942,,,,,
92064,Saint-Cloud,Hauts-de-Seine,https://fr.wikipedia.org/wiki/Hauts-de-Seine,—,Île-de-France,29 855,,,,,
93077,Villemomble,Seine-Saint-Denis,https://fr.wikipedia.org/wiki/Seine-Saint-Denis,—,Île-de-France,29 795,,,,,
84087,Orange,Vaucluse,https://fr.wikipedia.org/wiki/Vaucluse,—,Provence-Alpes-Côte d'Azur,29 706,,,,,
76575,Saint-Étienne-du-Rouvray,Seine-Maritime,https://fr.wikipedia.org/wiki/Seine-Maritime,—,Normandie,29 518,,,,,
93014,Clichy-sous-Bois,Seine-Saint-Denis,https://fr.wikipedia.org/wiki/Seine-Saint-Denis,—,Île-de-France,29 354,,,,,
06155,Vallauris,Alpes-Maritimes,https://fr.wikipedia.org/wiki/Alpes-Maritimes,—,Provence-Alpes-Côte d'Azur,29 259,,,,,
24322,Périgueux,Dordogne,https://fr.wikipedia.org/wiki/Dordogne,Préfecture,Nouvelle-Aquitaine,29 055,,,,,
76681,Sotteville-lès-Rouen,Seine-Maritime,https://fr.wikipedia.org/wiki/Seine-Maritime,—,Normandie,29 003,,,,,
92060,Le Plessis-Robinson,Hauts-de-Seine,https://fr.wikipedia.org/wiki/Hauts-de-Seine,—,Île-de-France,28 848,,,,,
94018,Charenton-le-Pont,Val-de-Marne,https://fr.wikipedia.org/wiki/Val-de-Marne,—,Île-de-France,28 830,,,,,
59392,Maubeuge,Nord,https://fr.wikipedia.org/wiki/Nord,—,Hauts-de-France,28 767,,,,,
76217,Dieppe,Seine-Maritime,https://fr.wikipedia.org/wiki/Seine-Maritime,Sous-préfecture,Normandie,28 496,,,,,
02722,Soissons,Aisne,https://fr.wikipedia.org/wiki/Aisne,Sous-préfecture,Hauts-de-France,28 046,,,,,
49328,Saumur,Maine-et-Loire,https://fr.wikipedia.org/wiki/Maine-et-Loire,Sous-préfecture,Pays de la Loire,26 241,,,,,
15014,Aurillac,Cantal,https://fr.wikipedia.org/wiki/Cantal,Préfecture,Auvergne-Rhône-Alpes,26 214,,,,,
64122,Biarritz,Pyrénées-Atlantiques,https://fr.wikipedia.org/wiki/Pyrénées-Atlantiques,—,Nouvelle-Aquitaine,26 206,,,,,
76322,Le Grand-Quevilly,Seine-Maritime,https://fr.wikipedia.org/wiki/Seine-Maritime,—,Normandie,25 789,,,,,
61001,Alençon,Orne,https://fr.wikipedia.org/wiki/Orne,Préfecture,Normandie,25 490,,,,,
03310,Vichy,Allier,https://fr.wikipedia.org/wiki/Allier,Sous-préfecture,Auvergne-Rhône-Alpes,25 115,,,,,
18279,Vierzon,Cher,https://fr.wikipedia.org/wiki/Cher,Sous-préfecture,Centre-Val de Loire,25 068,,,,,
25388,Montbéliard,Doubs,https://fr.wikipedia.org/wiki/Doubs,Sous-préfecture,Bourgogne-Franche-Comté,24 672,,,,,
94054,Orly,Val-de-Marne,https://fr.wikipedia.org/wiki/Val-de-Marne,—,Île-de-France,24 658,,,,,
52448,Saint-Dizier,Haute-Marne,https://fr.wikipedia.org/wiki/Haute-Marne,Sous-préfecture,Grand Est,22 858,,,,,
62178,Bruay-la-Buissière,Pas-de-Calais,https://fr.wikipedia.org/wiki/Pas-de-Calais,—,Hauts-de-France,21 424,,,,,
71153,Le Creusot,Saône-et-Loire,https://fr.wikipedia.org/wiki/Saône-et-Loire,—,Bourgogne-Franche-Comté,20 509,,,,,
